OBJECTID,CT20,LABEL,Population Density (Pop Per Square Mile),Total Population,Median Household Income,Median Home Value,Percent White Population,Percent Black Population,Percent Asian Population,Percent Hispanic Population,Percent Owner Occupied Housing Units,Percent Population With Higher Education,Number of Permits,Mean Year Built of Retrofitted Residences,Mean Building Age (All Residences),Mean Year Built of All 1 or 2 Family Dwellings,Number of 1 or 2 Family Dwellings,Mean Year Built of All 1 or 2 Family Dwellings Built Before 1980,Number of 1 or 2 Family Dwellings Built Before 1980,Normalized Permit Count (Method 2),Permits Per 1000 Residences (Method 2- Overall),Transformed Permit Count (Method 2- Overall),Number of 1 or 2 Family Dwellings Built Before 1940,Percent of 1 or 2 Family Dwellings Built Before 1940,Corresponding Zip Code,EBB Program Identifier (2021),EBB Program Identifier (2022),CenterLat,CenterLong,SS,Permits Per 1000 Residences (Method 2- Pre 2013),Transformed Permit Count (Method 2- Pre 2013),Permits Per 1000 Residences (Method 2- 2013 Onwards),Transformed Permit Count (Method 2- 2013 Onwards)
974,269500,2695,8246,4407,200001,1738128,82.01,1.11,6.9,5.56,87.51,84.6,20,1951.947368,66.713788,1955.286212,1438,1948.2277,1278,0.015649,15.649,2.812377,21,1.460362,90034,1,1,34.043386,-118.3938,2.073,12.519562,2.60413766,3.12989,1.418251
975,269601,2696.01,24451.8,3150,56407,912500,23.46,13.3,4.48,60.35,9.97,30.67,4,1935,82.486667,1939.513333,150,1937.335616,146,0.027211,27.211,3.339708,66,44,90034,1,1,34.041859,-118.379464,2.044,27.210884,3.339707873,0,0
976,269602,2696.02,26578,2982,66760,1247126,30.62,9.02,7.14,54.59,16.24,54.86,1,1955,76.679144,1945.320856,188,1939.245614,171,0.005814,5.814,1.918972,47,25,90034,1,1,34.043274,-118.384494,2.056,0,0,5.813953,1.918972
977,269700,2697,11642.8,4035,106337,894660,44.83,8.82,11,34.6,43.95,70.02,16,1933.1875,83.574904,1938.425096,781,1935.009447,741,0.021563,21.563,3.116327,571,73.111396,90034,1,1,34.036341,-118.387165,2.039,17.520216,2.918862872,4.043127,1.618026
978,269800,2698,18853.1,3400,95453,898864,46.88,8.12,19.85,23.18,19.32,76.02,8,1940.25,73.210145,1948.789855,415,1944.204244,377,0.021108,21.108,3.095948,124,29.879518,90034,1,1,34.03205,-118.396823,2.035,18.469657,2.968857202,2.638522,1.291578
979,269903,2699.03,34402.5,3770,77239,742188,40.4,6.02,26.5,25.36,5.12,68.4,0,,51.086207,1970.913793,58,1942,18,0,0,0,12,20.689655,90034,1,1,34.020908,-118.406489,1.987,0,0,0,0
980,269905,2699.05,28649.8,2633,82539,0,45.5,7.67,21.42,24.04,0.39,80.25,1,1971,80.229167,1941.770833,48,1926.435897,39,0.025,25,3.258097,37,77.083333,90034,1,1,34.021862,-118.401893,1.996,0,0,25,3.258097
981,269906,2699.06,38875.8,3122,104142,712963,45.29,7.24,22.07,24.02,6.27,76.53,2,1938.5,37.801802,1984.198198,111,1930.52381,21,0.090909,90.909,4.5208,16,14.414414,90034,1,1,34.024964,-118.403187,2.006,90.909091,4.520799946,0,0
982,269907,2699.07,25114.4,2684,88155,660156,45.27,8.23,21.76,22.54,10.23,70.3,0,,37.511278,1984.488722,134,1938.555556,18,0,0,0,10,7.462687,90034,1,1,34.028052,-118.406722,2.013,0,0,0,0
983,269908,2699.08,29062.8,1879,75028,243750,46.3,7.72,20.86,20.49,2.72,72.57,1,1939,48.015873,1973.984127,63,1969.051282,39,0.025641,25.641,3.282452,3,4.761905,90034,1,1,34.029692,-118.413223,2.01,25.641026,3.282452345,0,0
984,269909,2699.09,34345.6,2253,79274,1775000,43.9,8.92,20.11,25.08,0.98,66.99,2,1958.5,43.037037,1978.962963,55,1939.555556,9,0.181818,181.818,5.208492,4,7.272727,90034,1,1,34.025963,-118.410579,2,0,0,181.818182,5.208492
985,270101,2701.01,13651.5,1974,86971,537500,48.02,8.46,20.26,20.11,11.96,76.88,0,,46.680723,1975.319277,169,1967.4375,112,0,0,0,10,5.91716,90034,1,1,34.028225,-118.394748,2.02,0,0,0,0
986,270102,2701.02,29749.3,2255,76368,640000,45.94,7.54,24.39,19.78,5.03,63.89,1,1925,51.124224,1970.875776,161,1945.927536,69,0.014493,14.493,2.740372,39,24.223602,90034,1,1,34.025677,-118.398331,2.013,14.492754,2.740372406,0,0
987,270200,2702,11736.6,3463,79123,865476,30.21,7.71,11.2,50.79,36.76,53.57,11,1934.181818,78.855159,1943.144841,505,1935.359823,453,0.024283,24.283,3.230115,303,60,90034,1,1,34.033335,-118.380703,2.022,15.452539,2.800479789,8.830022,2.285441
988,270300,2703,7229.9,2726,93245,918883,30.23,26.41,11.52,29.46,58.53,58.33,4,1940,70.532872,1951.467128,578,1940.173196,485,0.008247,8.247,2.224345,111,19.204152,90034,1,1,34.039734,-118.370862,2.025,4.123711,1.633879048,4.123711,1.633879
989,271100,2711,7785.7,2418,120653,1089701,53.35,3.18,19.44,20.43,61.79,70.43,1,1939,76.937238,1945.062762,717,1942.932277,694,0.001441,1.441,0.892376,175,24.407252,90064,1,1,34.033917,-118.426825,2.005,1.440922,0.892375915,0,0
990,271200,2712,12691.5,2570,94688,865044,41.17,3.89,24.51,30.39,20.11,61.64,1,1937,59.093385,1962.906615,257,1946.344633,177,0.00565,5.65,1.894574,58,22.568093,90064,1,1,34.031397,-118.442015,1.974,5.649718,1.894574375,0,0
991,271300,2713,8594.1,4879,111328,1043103,53.08,2.54,21.23,19.55,64.94,71.83,8,1938.625,68.487406,1953.512594,1469,1947.773395,1293,0.006187,6.187,1.972296,345,23.485364,90064,1,1,34.025965,-118.441407,1.957,4.640371,1.729949884,1.54679,0.934834
992,271400,2714,7853.1,3484,164508,1363918,69.46,1.26,11.94,12,86.83,77.46,5,1951,67.319883,1954.680117,1363,1950.313834,1265,0.003953,3.953,1.599906,25,1.834189,90066,1,1,34.010083,-118.447412,1.901,3.162055,1.426009023,0.790514,0.582503
993,271500,2715,8355.7,2936,124382,1574627,62.36,2.08,15.97,15.19,52.27,75.65,1,2006,66.109339,1955.890661,878,1949.630491,774,0.001292,1.292,0.82942,2,0.22779,90066,1,1,34.016687,-118.438254,1.932,1.29199,0.829420289,0,0
994,271600,2716,13578.5,4747,113729,1346154,49.8,3.88,30.65,13.44,35.5,81.31,1,2013,64.17976,1957.82024,751,1948.852989,619,0.001616,1.616,0.961459,0,0,90066,1,1,34.021219,-118.431065,1.956,1.615509,0.961458681,0,0
995,271702,2717.02,17226,4699,83693,1092105,41.07,5.47,36.67,15.88,30.14,81.08,2,1940.5,64.456835,1957.543165,556,1953.179283,502,0.003984,3.984,1.606246,16,2.877698,90034,1,1,34.025611,-118.426058,1.977,3.984064,1.606245571,0,0
996,271703,2717.03,18157.1,3178,103328,1275000,51.26,3.9,22.66,17.72,28.28,74.31,5,1954.6,62.871245,1959.128755,466,1945.465116,344,0.014409,14.409,2.734966,127,27.253219,90034,1,1,34.022807,-118.418546,1.978,8.645533,2.266494921,5.763689,1.911568
997,271704,2717.04,13627.9,2861,102193,1149701,50.79,4.47,25.17,14.09,29.61,81.87,6,1958,70.89485,1951.10515,466,1943.28392,398,0.015075,15.075,2.777289,33,7.081545,90034,1,1,34.028894,-118.419574,1.998,12.562814,2.607331788,2.512563,1.256346
998,271801,2718.01,19346.9,3585,68891,922207,39.83,4.99,22.71,30.26,17.11,64.89,4,1934,73.926471,1948.073529,341,1943.690852,317,0.012618,12.618,2.611414,79,23.167155,90034,1,1,34.016731,-118.418246,1.957,12.618297,2.611414222,0,0
999,271803,2718.03,35531,3136,88730,646635,42.19,7.14,23.72,24.84,9.17,66.07,0,,48.415493,1973.584507,142,1964.116883,77,0,0,0,10,7.042254,90034,1,1,34.019476,-118.410361,1.976,0,0,0,0
1000,271804,2718.04,18860.1,2540,80205,1116197,45.31,4.49,22.8,23.74,18.41,66.19,8,1962.75,79.730769,1942.269231,286,1937.576779,267,0.029851,29.851,3.429161,171,59.79021,90034,1,1,34.020174,-118.413878,1.974,18.656716,2.978419082,11.19403,2.500946
1001,271901,2719.01,11002.6,2796,102012,1206284,47.6,4.69,19.49,24.71,35.71,66.99,7,1958.571429,65.722543,1956.277457,519,1951.855932,472,0.014799,14.799,2.759956,34,6.55106,90066,1,1,34.013857,-118.424189,1.939,10.570825,2.448486803,4.22833,1.654092
1002,271902,2719.02,10708,3821,94863,1464894,55.9,3.3,14.24,23.14,36.41,65.06,4,1949.75,66.631094,1955.368906,760,1945.449275,621,0.006441,6.441,2.007035,119,15.657895,90066,1,1,34.009634,-118.431689,1.917,6.441224,2.007035329,0,0
1003,272100,2721,9651.2,4469,111347,1261247,61.94,1.59,9.2,21.75,58.18,75.38,19,1937.473684,72.961965,1949.038035,1262,1943.278163,1154,0.016464,16.464,2.860169,286,22.662441,90066,1,1,34.003715,-118.4423,1.887,12.131716,2.575030355,4.332756,1.673868
1004,272201,2722.01,23568.8,2366,73836,986328,48.14,3.85,12.47,32.21,14.98,52.73,0,,62.317073,1959.682927,287,1944.727273,187,0,0,0,90,31.358885,90066,1,1,34.000388,-118.434139,1.885,0,0,0,0
1005,272202,2722.02,26261.4,3139,76523,835744,51.64,2.71,10.32,32.91,18.83,56.43,5,1926.8,58.615385,1963.384615,403,1942.888393,224,0.022321,22.321,3.149373,81,20.099256,90066,1,1,33.997558,-118.439161,1.876,13.392857,2.666732052,8.928571,2.295417
1006,272301,2723.01,12717.9,2966,92180,999238,52.7,4.75,13.59,27.14,39.05,65.49,6,1947.5,70.069565,1951.930435,576,1942.689441,483,0.012422,12.422,2.596922,127,22.048611,90066,1,1,34.00502,-118.422253,1.912,6.21118,1.975632617,6.21118,1.975633
1007,272302,2723.02,19689.1,3840,77081,1449367,44.64,4.01,9.92,42.08,13.25,47.86,2,1934,65.800623,1956.199377,321,1949.832117,274,0.007299,7.299,2.116168,57,17.757009,90066,1,1,34.002114,-118.427454,1.897,7.29927,2.116167568,0,0
1008,273100,2731,7472.8,3396,165225,1595588,69.52,2.39,6.95,18.23,43.19,77.92,12,1946.666667,68.22526,1953.77474,774,1948.058488,701,0.017118,17.118,2.896928,99,12.790698,90291,1,1,34.003489,-118.459824,1.887,12.838802,2.627476365,4.279601,1.66385
1009,273200,2732,14662.4,3634,117140,1667874,54.65,9.44,3.77,32.06,36.83,66.93,18,1927.166667,75.343434,1946.656566,596,1932.477895,475,0.037895,37.895,3.660859,287,48.154362,90291,1,1,33.997591,-118.466987,1.884,25.263158,3.268167117,12.631579,2.612389
1010,273300,2733,15328.2,3387,82323,1658046,53.59,11.51,4.28,28.43,21.63,69.87,13,1920.75,71.607143,1950.392857,478,1927.634441,331,0.039275,39.275,3.695729,230,48.117155,90291,1,1,33.995559,-118.47222,1.89,21.148036,3.097748836,18.126888,2.951095
1011,273403,2734.03,9902.9,1554,87071,2000001,71.94,7.46,4.5,13.38,30.52,77.27,3,1906.666667,72.870192,1949.129808,209,1927.160839,143,0.020833,20.833,3.083438,103,49.282297,90291,1,1,33.991686,-118.477121,1.896,13.888889,2.700615223,6.944444,2.072473
1012,273404,2734.04,18515.4,1546,69426,1888889,75.29,4.33,5.95,9.9,17.84,71.49,2,1904,45.777778,1976.222222,316,1933.825243,103,0.019231,19.231,3.007205,61,19.303797,90291,1,1,33.994989,-118.477701,1.896,9.615385,2.362304328,9.615385,2.362304
1013,273502,2735.02,11611.7,2659,106663,2000001,75.33,3.8,5.15,10.72,22.01,75.56,14,1915.076923,72.42887,1949.57113,480,1932.961219,361,0.038567,38.567,3.678008,213,44.375,90291,1,1,33.987939,-118.47039,1.887,33.057851,3.528060586,5.509642,1.873284
1014,273600,2736,9477.4,2154,163832,1960938,74.23,1.62,4.55,14.35,58.25,80.2,24,1918.833333,84.257106,1937.742894,781,1927.620741,675,0.035556,35.556,3.598833,516,66.069142,90291,1,1,33.993366,-118.459955,1.875,22.222222,3.145109675,13.333333,2.662588
1015,273700,2737,10433.5,2781,135931,1588663,68.46,1.8,5.32,21.25,44.95,78.46,24,1933.666667,76.623037,1945.376963,765,1935.190259,657,0.03653,36.53,3.625132,365,47.712418,90291,1,1,33.998384,-118.45269,1.87,27.39726,3.346292671,9.13242,2.31574
1016,273800,2738,10211.5,2924,113912,1584699,69.12,2.15,6.7,17.34,35.12,74.23,17,1920.125,78.264943,1943.735057,622,1934.456439,528,0.032197,32.197,3.502459,318,51.125402,90291,1,1,33.992715,-118.451274,1.864,24.621212,3.243420607,7.575758,2.148939
1017,273902,2739.02,11986.8,4314,160829,2000001,75.73,2.46,4.96,11.17,39.17,75.9,12,1953.6,59.010929,1962.989071,1284,1946.274764,848,0.014134,14.134,2.716962,256,19.937695,90291,1,1,33.984133,-118.464656,1.878,9.42285,2.344000551,4.711425,1.742469
1018,274100,2741,20301.8,4923,138854,1375514,66.48,5.71,12.33,12.25,37.66,76.84,2,1926.5,36.592862,1985.407138,1374,1949.774487,439,0.004556,4.556,1.714844,84,6.113537,90292,0,0,33.987527,-118.448934,1.859,4.555809,1.714843985,0,0
1019,274202,2742.02,12789,4932,123078,1918233,75.22,4.16,6.93,9.49,57.61,75.28,5,1930.2,42.416342,1979.583658,1800,1970.914708,1149,0.004352,4.352,1.677397,64,3.555556,90292,0,0,33.97259,-118.460343,1.866,2.610966,1.283975342,1.740644,1.008193
1020,275101,2751.01,8863.7,1178,100697,900000,49.24,4.92,18.34,23.51,38.54,68.55,1,1953,68.55814,1953.44186,259,1948.115385,234,0.004274,4.274,1.662695,14,5.405405,90230,0,1,33.999181,-118.403916,1.911,4.273504,1.662695089,0,0
1021,275102,2751.02,15709.8,3784,68246,941710,30.36,2.56,11.89,56.92,30.86,33.45,3,1933.666667,66.818841,1955.181159,552,1950.047521,484,0.006198,6.198,1.973851,60,10.869565,90230,0,1,33.99796,-118.410739,1.902,4.132231,1.635540536,2.066116,1.120412
