OBJECTID,Neighborhood Name,Region,Total Population,Median Household Income,Median Home Value,Percent White Population,Percent Black Population,Percent Asian Population,Percent Hispanic Population,Percent Owner Occupied Housing Units,Percent Population With Higher Education,Number of Permits,Mean Year Built of Retrofitted Residences,Mean Building Age (All Residences),Mean Year Built of All 1 or 2 Family Dwellings,Number of 1 or 2 Family Dwellings,Mean Year Built of All 1 or 2 Family Dwellings Built Before 1980,Number of 1 or 2 Family Dwellings Built Before 1980,Normalized Permit Count (Method 2),Permits Per 1000 Residences (Method 2- Overall),Transformed Permit Count (Method 2- Overall),Number of 1 or 2 Family Dwellings Built Before 1940,Percent of 1 or 2 Family Dwellings Built Before 1940,Permits Per 1000 Residences (Method 2- Pre 2013),Transformed Permit Count (Method 2- Pre 2013),Permits Per 1000 Residences (Method 2- 2013 Onwards),Transformed Permit Count (Method 2- 2013 Onwards)
101,Vermont-Slauson,South LA,28430,43871,486707,7.26,21.09,0.63,75.2,36.29,16.01,9,1919.111111,95.950534,1926.049466,3574,1928.104304,3352,0.002685,2.685,1.304261,3178,88.919978,2.088305,1.127623,0.596659,0.467913
100,Vermont Knolls,South LA,22507,39354,506878,5.82,32.01,0.56,63.94,26.93,17.02,10,1933.888889,90.802073,1931.197927,2027,1932.292853,1886,0.005302,5.302,1.840903,1787,88.159842,4.241782,1.656661,1.060445,0.722922
102,Vermont Square,South LA,49690,46689,590439,8.21,21.86,1.61,71.84,34.18,17.77,67,1916.476923,104.031336,1917.968664,5860,1924.546636,5695,0.01175,11.75,2.545552,5587,95.341297,6.839705,2.059201,4.910558,1.77674
103,Vermont Vista,South LA,25901,46243,472359,6.48,30.06,0.77,65.98,37.06,16.55,12,1926.416667,85.645263,1936.354737,3477,1938.645891,3275,0.003664,3.664,1.5399,2493,71.699741,2.442748,1.23627,1.221374,0.798126
104,Watts,South LA,44202,35437,437424,8.06,22.53,0.49,75.16,32.92,10.92,9,1950.666667,68.286887,1953.713113,4880,1943.515187,3461,0.0026,2.6,1.281046,1875,38.422131,2.600405,1.281046,0,0
105,West Adams,South LA,21948,55667,637848,13.82,21.83,3.26,63.6,37.34,26.98,53,1927.45098,90.048328,1931.951672,3027,1937.712225,2913,0.018169,18.169,2.953313,2404,79.418566,7.541995,2.144995,10.627357,2.453361
107,West Hills,San Fernando Valley & The Verdugos,40695,132359,704004,58.82,3.48,17.38,17.51,84.69,62.1,12,1964.166667,53.534554,1968.465446,13877,1964.334,10997,0.001091,1.091,0.737741,46,0.331484,0.545603,0.435414,0.545603,0.435414
109,West Los Angeles,Westside,14936,118054,1233266,64.52,2.23,18.75,8.43,45.9,82.21,53,1937.173077,60.980455,1961.019545,4042,1954.984538,2587,0.020448,20.448,3.06561,1694,41.909946,15.817901,2.822444,4.62963,1.728044
106,Westchester,South Bay,42556,119463,963189,50.73,11.38,15.44,18.23,52.26,72.93,49,1951.285714,67.212725,1954.787275,10389,1958.990643,9298,0.005267,5.267,1.835317,38,0.365771,3.762227,1.560715,1.504891,0.918245
108,Westlake,Central LA,107280,43373,631206,13.04,5.92,20.65,63.31,4.79,32.93,56,1917.283019,63.985684,1958.014316,2886,1945.361326,1814,0.030601,30.601,3.453192,1133,39.258489,12.021858,2.566629,18.579235,2.97447
110,Westwood,Westside,56600,98188,1486045,54.1,3.62,28.65,12.52,35.42,81.07,109,1937.119266,54.207443,1967.792557,10104,1962.17151,6301,0.017274,17.274,2.905488,2032,20.110847,14.104596,2.714999,3.169572,1.427813
111,Wilmington,The Harbor,50912,57700,513752,15.25,2.92,2.36,89.38,37.44,14.96,9,1929.285714,73.679436,1948.320564,6264,1950.309187,5660,0.00159,1.59,0.95159,2226,35.536398,0.883236,0.632992,0.706589,0.534497
112,Windsor Square,Central LA,5457,125015,2000001,47,3.3,35.97,11.53,49.55,67.64,76,1920.520548,92.18112,1929.81888,1303,1939.381151,1199,0.063281,63.281,4.163258,1106,84.881044,51.623647,3.963166,11.656953,2.538207
113,Winnetka,San Fernando Valley & The Verdugos,50344,82268,609760,29.75,4.51,18.81,49.61,56.13,40.37,14,1953.642857,58.047101,1963.952899,11316,1961.727443,9620,0.001455,1.455,0.898188,86,0.759986,0.727575,0.546719,0.727575,0.546719
114,Woodland Hills,San Fernando Valley & The Verdugos,72714,115230,854792,64.79,5.43,12.85,13.16,54.37,67.3,48,1956.708333,55.703056,1966.296944,19795,1965.032561,15878,0.003023,3.023,1.392041,196,0.990149,1.574506,0.945658,1.448545,0.895494
